-13.245183413211802,-13.6664808407269,-6.94203243989326,1,1,1
-14.5310580812023,-16.5566965073604,-7.833295695807769,1,1,1
-14.5310580812023,-16.5566965073604,-7.833295695807769,1,1,1
-12.730574114804002,-14.4146261897583,-8.57410015683545,1,1,1
-11.9602742298381,-15.5025741817648,-10.9026266963067,1,1,1
-11.3165030275617,-14.7726985553288,-9.75812283905058,1,1,1
-13.453444444878302,-13.6728045914817,-7.29739013030643,1,1,1
-11.450208088471,-13.1320553789587,-6.45237797963138,1,1,1
-11.8720736176077,-13.5156144187982,-7.697009598367491,1,1,1
-11.3518710953312,-14.9191514528256,-9.69804625991919,1,1,1
-13.2814666724827,-17.067244614378602,-6.59591302918771,1,1,1
-12.5365205076864,-17.8827474168353,-8.77712737298137,1,1,1
-13.071055360743,-16.1547125247172,-7.210825358590549,1,1,1
-13.870192374306,-14.7729891717986,-9.35313527317672,1,1,1
-15.0935548495657,-15.0201177333737,-5.65446226125553,1,1,1
-14.2957719670565,-15.9872002060033,-7.601955847855559,1,1,1
-13.6200200497908,-16.1878687745953,-10.8283548809076,1,1,1
-13.6200200497908,-16.1878687745953,-10.8283548809076,1,1,1
-13.9681317423241,-14.059802381319198,-8.93070866038205,1,1,1
-13.7744264881396,-15.0923179150324,-9.70725740767363,1,1,1
-13.6286710001882,-11.7171535826796,-5.18083210255645,1,1,1
-13.6286710001882,-11.7171535826796,-5.18083210255645,1,1,1
-13.1053762417375,-12.5263488923541,-6.4171106312076,1,1,1
-15.2739669028798,-14.395047882541402,-3.1926014737759503,1,1,1
-14.6366888570773,-15.878995551371698,-6.278771893114361,1,1,1
-12.405991876951,-13.7380703625086,-6.776150451049629,1,1,1
-11.143326677203,-14.1463523208704,-8.12563802775357,1,1,1
